campaign_id,audience,impressions,ad_type,date,spend,actions
00767460-da69-4c05-a148-d37f162d802b,TX_pink_63-68,7775,video,2017-06-18,632,"[{""E"": 15, ""action"": ""junk""}, {""E"": 95, ""action"": ""noise""}, {""K"": 6, ""action"": ""clicks""}]"
00834dc6-5b04-4f7d-9fc6-1696f94141e5,NC_white_24-29,1401,video,2017-06-21,214,"[{""H"": 48, ""action"": ""views""}, {""A"": 98, ""action"": ""junk""}]"
00882e3a-c381-4913-9bf9-48baa66ec87b,NE_green_24-29,9897,video,2017-06-17,679,"[{""A"": 44, ""action"": ""views""}, {""J"": 67, ""action"": ""conversions""}]"
00882e3a-c381-4913-9bf9-48baa66ec87b,NE_green_24-29,9897,video,2017-06-18,330,"[{""K"": 57, ""action"": ""views""}, {""E"": 30, ""action"": ""conversions""}]"
00991637-74b9-4856-a43b-f9ab0fa20363,LA_pink_51-56,2863,video,2017-06-23,339,"[{""C"": 84, ""action"": ""noise""}, {""J"": 80, ""action"": ""clicks""}, {""K"": 78, ""action"": ""junk""}]"
00991637-74b9-4856-a43b-f9ab0fa20363,LA_pink_51-56,2863,photo,2017-06-21,894,"[{""G"": 64, ""action"": ""views""}, {""G"": 18, ""action"": ""clicks""}, {""D"": 28, ""action"": ""clicks""}, {""G"": 9, ""action"": ""clicks""}]"
00b5b8f9-2cba-4cd3-8faf-69ade5a88cc6,TN_red_54-59,4367,photo,2017-06-18,524,"[{""E"": 9, ""action"": ""conversions""}, {""K"": 82, ""action"": ""conversions""}, {""D"": 50, ""action"": ""clicks""}, {""K"": 94, ""action"": ""views""}]"
00b5b8f9-2cba-4cd3-8faf-69ade5a88cc6,TN_red_54-59,4367,video,2017-06-19,554,"[{""H"": 42, ""action"": ""noise""}, {""K"": 97, ""action"": ""views""}, {""G"": 43, ""action"": ""views""}, {""G"": 95, ""action"": ""conversions""}]"
00b5b8f9-2cba-4cd3-8faf-69ade5a88cc6,TN_red_54-59,4367,video,2017-06-22,88,"[{""C"": 62, ""action"": ""conversions""}, {""C"": 53, ""action"": ""noise""}]"
00b789d5-4621-4ae8-90b0-f92082ac86b8,MO_black_36-41,8916,video,2017-06-21,460,"[{""F"": 27, ""action"": ""noise""}, {""G"": 71, ""action"": ""conversions""}, {""D"": 40, ""action"": ""junk""}, {""C"": 83, ""action"": ""conversions""}, {""C"": 35, ""action"": ""views""}]"
00b789d5-4621-4ae8-90b0-f92082ac86b8,MO_black_36-41,8916,photo,2017-06-19,942,"[{""D"": 7, ""action"": ""noise""}, {""D"": 18, ""action"": ""junk""}, {""J"": 86, ""action"": ""junk""}, {""H"": 87, ""action"": ""views""}]"
00b789d5-4621-4ae8-90b0-f92082ac86b8,MO_black_36-41,8916,photo,2017-06-16,559,"[{""E"": 9, ""action"": ""views""}, {""E"": 88, ""action"": ""clicks""}, {""E"": 43, ""action"": ""clicks""}, {""K"": 55, ""action"": ""noise""}, {""G"": 55, ""action"": ""junk""}]"
00bc71f8-fa1b-4577-9593-179175e358ed,TX_red_42-47,1750,video,2017-06-22,307,"[{""C"": 60, ""action"": ""conversions""}, {""E"": 48, ""action"": ""clicks""}]"
00bc71f8-fa1b-4577-9593-179175e358ed,TX_red_42-47,1750,video,2017-06-18,645,"[{""F"": 18, ""action"": ""views""}, {""F"": 42, ""action"": ""views""}, {""C"": 5, ""action"": ""views""}, {""K"": 73, ""action"": ""junk""}, {""G"": 33, ""action"": ""clicks""}]"
00c871f3-ceb5-4835-99cc-a084c54cf3e2,NY_purple_33-38,10999,video,2017-06-15,224,"[{""F"": 49, ""action"": ""junk""}, {""J"": 89, ""action"": ""noise""}, {""A"": 30, ""action"": ""clicks""}, {""K"": 15, ""action"": ""clicks""}]"
00c871f3-ceb5-4835-99cc-a084c54cf3e2,NY_purple_33-38,10999,photo,2017-06-23,720,"[{""D"": 47, ""action"": ""conversions""}, {""K"": 61, ""action"": ""noise""}, {""J"": 25, ""action"": ""noise""}]"
00cb46e2-59ba-489e-8004-70254a07d4aa,NJ_green_54-59,2567,photo,2017-06-19,676,"[{""A"": 74, ""action"": ""clicks""}]"
00cb46e2-59ba-489e-8004-70254a07d4aa,NJ_green_54-59,2567,photo,2017-06-23,984,"[{""E"": 16, ""action"": ""noise""}, {""H"": 32, ""action"": ""junk""}, {""H"": 76, ""action"": ""clicks""}, {""D"": 30, ""action"": ""clicks""}, {""A"": 92, ""action"": ""clicks""}]"
00cb46e2-59ba-489e-8004-70254a07d4aa,NJ_green_54-59,2567,video,2017-06-20,665,"[{""D"": 9, ""action"": ""noise""}, {""B"": 33, ""action"": ""noise""}]"
00f11c1d-197e-4390-bcc4-2390e9c31091,WV_brown_51-56,4060,photo,2017-06-23,656,"[{""K"": 63, ""action"": ""junk""}, {""F"": 96, ""action"": ""conversions""}, {""C"": 62, ""action"": ""clicks""}, {""C"": 81, ""action"": ""conversions""}, {""F"": 8, ""action"": ""conversions""}]"
00fa9a69-31f7-470c-843c-b1e215a1e18f,WI_white_63-68,5492,video,2017-06-23,489,"[{""B"": 38, ""action"": ""junk""}, {""A"": 87, ""action"": ""views""}, {""G"": 10, ""action"": ""clicks""}]"
010477f4-a0f2-4447-be2d-38251bac76c8,LA_orange_18-23,8991,photo,2017-06-14,176,"[{""C"": 62, ""action"": ""views""}, {""E"": 64, ""action"": ""noise""}, {""G"": 71, ""action"": ""clicks""}, {""D"": 6, ""action"": ""junk""}]"
010477f4-a0f2-4447-be2d-38251bac76c8,LA_orange_18-23,8991,photo,2017-06-17,952,"[{""G"": 10, ""action"": ""noise""}, {""J"": 83, ""action"": ""conversions""}, {""F"": 87, ""action"": ""conversions""}]"
0105d0a7-bc22-4ac5-9091-3ce59ecaf0f7,TN_pink_39-44,11481,video,2017-06-14,615,"[{""J"": 74, ""action"": ""junk""}]"
0105d0a7-bc22-4ac5-9091-3ce59ecaf0f7,TN_pink_39-44,11481,video,2017-06-21,151,"[{""H"": 3, ""action"": ""clicks""}, {""E"": 89, ""action"": ""views""}]"
0105d0a7-bc22-4ac5-9091-3ce59ecaf0f7,TN_pink_39-44,11481,video,2017-06-15,435,"[{""C"": 51, ""action"": ""noise""}, {""B"": 76, ""action"": ""noise""}, {""J"": 21, ""action"": ""views""}, {""F"": 82, ""action"": ""clicks""}, {""F"": 7, ""action"": ""views""}]"
0105d0a7-bc22-4ac5-9091-3ce59ecaf0f7,TN_pink_39-44,11481,photo,2017-06-22,861,"[{""H"": 63, ""action"": ""junk""}, {""G"": 94, ""action"": ""views""}, {""H"": 10, ""action"": ""views""}, {""B"": 52, ""action"": ""views""}, {""E"": 75, ""action"": ""views""}]"
0105d0a7-bc22-4ac5-9091-3ce59ecaf0f7,TN_pink_39-44,11481,photo,2017-06-23,876,"[{""D"": 79, ""action"": ""junk""}, {""F"": 71, ""action"": ""conversions""}]"
01071890-76be-4a07-9ec1-17d2ff5df402,WV_purple_48-53,10911,video,2017-06-19,660,"[{""C"": 85, ""action"": ""noise""}]"
0107941e-b99c-4ea2-8524-7d583ddd8fe3,NH_red_42-47,8156,video,2017-06-14,134,"[{""J"": 89, ""action"": ""views""}]"
0107941e-b99c-4ea2-8524-7d583ddd8fe3,NH_red_42-47,8156,photo,2017-06-21,526,"[{""D"": 51, ""action"": ""conversions""}]"
0119fde5-251f-4d4e-b367-1a42690655e8,CT_purple_36-41,10896,photo,2017-06-19,374,"[{""H"": 3, ""action"": ""clicks""}]"
0119fde5-251f-4d4e-b367-1a42690655e8,CT_purple_36-41,10896,photo,2017-06-23,399,"[{""D"": 49, ""action"": ""noise""}, {""K"": 76, ""action"": ""views""}, {""B"": 93, ""action"": ""views""}, {""B"": 34, ""action"": ""views""}, {""F"": 97, ""action"": ""clicks""}]"
0119fde5-251f-4d4e-b367-1a42690655e8,CT_purple_36-41,10896,photo,2017-06-17,94,"[{""B"": 26, ""action"": ""junk""}, {""H"": 74, ""action"": ""junk""}, {""G"": 19, ""action"": ""noise""}, {""A"": 20, ""action"": ""conversions""}]"
0119fde5-251f-4d4e-b367-1a42690655e8,CT_purple_36-41,10896,photo,2017-06-15,342,"[{""B"": 93, ""action"": ""clicks""}, {""A"": 58, ""action"": ""junk""}, {""J"": 89, ""action"": ""junk""}]"
013e67e9-93d6-479a-8ea6-6a3287b52e7c,NJ_black_51-56,5220,photo,2017-06-19,164,"[{""F"": 4, ""action"": ""junk""}]"
013e67e9-93d6-479a-8ea6-6a3287b52e7c,NJ_black_51-56,5220,video,2017-06-19,701,"[{""D"": 87, ""action"": ""clicks""}, {""B"": 26, ""action"": ""views""}, {""E"": 85, ""action"": ""noise""}]"
013fc7bb-937d-4026-9c69-8dada99f181a,WA_black_54-59,5844,photo,2017-06-22,384,"[{""A"": 59, ""action"": ""junk""}]"
013fc7bb-937d-4026-9c69-8dada99f181a,WA_black_54-59,5844,video,2017-06-16,463,"[{""B"": 7, ""action"": ""clicks""}, {""D"": 22, ""action"": ""junk""}]"
01453676-7075-4c1a-b05f-1b5c6c89b664,ID_brown_63-68,7010,video,2017-06-14,153,"[{""H"": 76, ""action"": ""junk""}, {""A"": 46, ""action"": ""views""}]"
014b4a88-261d-4d16-b360-9027fde8f023,NC_purple_63-68,7706,video,2017-06-15,652,"[{""J"": 80, ""action"": ""junk""}, {""K"": 25, ""action"": ""clicks""}, {""F"": 50, ""action"": ""junk""}, {""K"": 58, ""action"": ""views""}]"
014b4a88-261d-4d16-b360-9027fde8f023,NC_purple_63-68,7706,photo,2017-06-15,726,"[{""C"": 32, ""action"": ""conversions""}]"
014c0e6b-151d-4b77-b421-275b04177dc1,NM_purple_18-23,5937,photo,2017-06-23,632,"[{""D"": 89, ""action"": ""clicks""}]"
014c0e6b-151d-4b77-b421-275b04177dc1,NM_purple_18-23,5937,photo,2017-06-20,848,"[{""E"": 50, ""action"": ""views""}, {""C"": 27, ""action"": ""conversions""}, {""D"": 59, ""action"": ""junk""}, {""A"": 35, ""action"": ""views""}, {""E"": 6, ""action"": ""conversions""}]"
014f2c85-8cbb-4874-8dc3-83e4d629a532,RI_red_63-68,10514,photo,2017-06-20,400,"[{""G"": 64, ""action"": ""views""}, {""A"": 62, ""action"": ""conversions""}, {""C"": 7, ""action"": ""conversions""}, {""B"": 72, ""action"": ""junk""}]"
014f2c85-8cbb-4874-8dc3-83e4d629a532,RI_red_63-68,10514,video,2017-06-17,791,"[{""K"": 60, ""action"": ""views""}, {""D"": 23, ""action"": ""conversions""}]"
014f2c85-8cbb-4874-8dc3-83e4d629a532,RI_red_63-68,10514,photo,2017-06-23,822,"[{""E"": 37, ""action"": ""conversions""}, {""A"": 44, ""action"": ""clicks""}, {""G"": 16, ""action"": ""clicks""}]"
014f2c85-8cbb-4874-8dc3-83e4d629a532,RI_red_63-68,10514,video,2017-06-14,79,"[{""C"": 7, ""action"": ""noise""}, {""J"": 92, ""action"": ""views""}, {""A"": 3, ""action"": ""junk""}]"
014f2c85-8cbb-4874-8dc3-83e4d629a532,RI_red_63-68,10514,video,2017-06-16,2,"[{""G"": 54, ""action"": ""conversions""}, {""E"": 33, ""action"": ""views""}]"
014f2c85-8cbb-4874-8dc3-83e4d629a532,RI_red_63-68,10514,photo,2017-06-18,871,"[{""C"": 11, ""action"": ""views""}, {""J"": 93, ""action"": ""noise""}, {""E"": 12, ""action"": ""junk""}]"
01555620-5ec3-430b-9a47-2275bbbb3fe3,MO_purple_57-62,13678,video,2017-06-23,78,"[{""G"": 23, ""action"": ""views""}, {""E"": 82, ""action"": ""junk""}]"
01593318-80bf-45f9-aa4e-ac6ecb4441f4,RI_white_60-65,5292,video,2017-06-14,601,"[{""K"": 31, ""action"": ""junk""}, {""J"": 69, ""action"": ""junk""}, {""K"": 84, ""action"": ""noise""}]"
01593318-80bf-45f9-aa4e-ac6ecb4441f4,RI_white_60-65,5292,video,2017-06-16,7,"[{""J"": 96, ""action"": ""conversions""}, {""G"": 70, ""action"": ""views""}, {""C"": 39, ""action"": ""views""}, {""C"": 3, ""action"": ""noise""}, {""G"": 29, ""action"": ""views""}]"
01593318-80bf-45f9-aa4e-ac6ecb4441f4,RI_white_60-65,5292,photo,2017-06-22,818,"[{""G"": 39, ""action"": ""clicks""}]"
01593318-80bf-45f9-aa4e-ac6ecb4441f4,RI_white_60-65,5292,photo,2017-06-17,20,"[{""D"": 95, ""action"": ""noise""}, {""G"": 1, ""action"": ""conversions""}, {""H"": 9, ""action"": ""junk""}, {""E"": 71, ""action"": ""conversions""}, {""D"": 91, ""action"": ""conversions""}]"
01593318-80bf-45f9-aa4e-ac6ecb4441f4,RI_white_60-65,5292,photo,2017-06-19,805,"[{""D"": 93, ""action"": ""clicks""}]"
015b42ca-ca9a-43bb-85a8-515102c7000c,MN_pink_36-41,4372,video,2017-06-19,568,"[{""K"": 58, ""action"": ""junk""}, {""B"": 69, ""action"": ""noise""}, {""K"": 16, ""action"": ""noise""}, {""E"": 8, ""action"": ""junk""}]"
0170b0d1-5f4f-482d-ba6c-75a3a131a9fc,CO_purple_48-53,843,video,2017-06-22,915,"[{""E"": 39, ""action"": ""views""}, {""B"": 54, ""action"": ""clicks""}, {""C"": 94, ""action"": ""conversions""}, {""E"": 69, ""action"": ""conversions""}, {""G"": 74, ""action"": ""clicks""}]"
0170b0d1-5f4f-482d-ba6c-75a3a131a9fc,CO_purple_48-53,843,video,2017-06-23,0,"[{""F"": 34, ""action"": ""junk""}, {""H"": 13, ""action"": ""junk""}, {""H"": 31, ""action"": ""clicks""}, {""F"": 14, ""action"": ""conversions""}, {""D"": 82, ""action"": ""conversions""}]"
0170b0d1-5f4f-482d-ba6c-75a3a131a9fc,CO_purple_48-53,843,video,2017-06-17,518,"[{""H"": 47, ""action"": ""junk""}, {""F"": 35, ""action"": ""views""}, {""E"": 60, ""action"": ""views""}, {""B"": 17, ""action"": ""clicks""}]"
017a02ba-5fa3-4229-8ccd-23cb5e2c21f9,AR_orange_36-41,9202,photo,2017-06-20,257,"[{""A"": 51, ""action"": ""junk""}, {""E"": 59, ""action"": ""views""}, {""A"": 40, ""action"": ""views""}, {""B"": 82, ""action"": ""clicks""}]"
017a02ba-5fa3-4229-8ccd-23cb5e2c21f9,AR_orange_36-41,9202,photo,2017-06-16,453,"[{""E"": 21, ""action"": ""views""}, {""C"": 54, ""action"": ""noise""}]"
01907517-2da7-4ebd-8643-d938b9e7adfa,IA_orange_60-65,197,photo,2017-06-15,100,"[{""G"": 50, ""action"": ""junk""}]"
01907517-2da7-4ebd-8643-d938b9e7adfa,IA_orange_60-65,197,video,2017-06-17,505,"[{""H"": 4, ""action"": ""noise""}, {""K"": 63, ""action"": ""junk""}, {""K"": 82, ""action"": ""clicks""}]"
01907517-2da7-4ebd-8643-d938b9e7adfa,IA_orange_60-65,197,video,2017-06-15,624,"[{""J"": 10, ""action"": ""noise""}, {""C"": 55, ""action"": ""conversions""}, {""K"": 96, ""action"": ""noise""}]"
01907517-2da7-4ebd-8643-d938b9e7adfa,IA_orange_60-65,197,photo,2017-06-23,781,"[{""G"": 7, ""action"": ""conversions""}, {""F"": 87, ""action"": ""clicks""}]"
01a97057-a8c6-4616-9c31-a05f0ff3e4d3,ME_black_57-62,8632,photo,2017-06-18,579,"[{""C"": 97, ""action"": ""views""}, {""D"": 58, ""action"": ""views""}]"
01bcb695-07e7-4e71-a149-6de8ea72e104,GA_purple_45-50,10271,video,2017-06-14,345,"[{""E"": 68, ""action"": ""clicks""}, {""E"": 48, ""action"": ""conversions""}]"
01bdfb9d-aa69-4a8f-bc8b-7491d02e7865,VT_red_27-32,19878,video,2017-06-17,223,"[{""D"": 49, ""action"": ""views""}, {""A"": 90, ""action"": ""conversions""}]"
01bdfb9d-aa69-4a8f-bc8b-7491d02e7865,VT_red_27-32,19878,photo,2017-06-23,751,"[{""K"": 3, ""action"": ""junk""}, {""G"": 6, ""action"": ""junk""}, {""B"": 22, ""action"": ""junk""}]"
01bdfb9d-aa69-4a8f-bc8b-7491d02e7865,VT_red_27-32,19878,video,2017-06-21,351,"[{""A"": 99, ""action"": ""views""}, {""F"": 50, ""action"": ""clicks""}, {""G"": 89, ""action"": ""views""}, {""B"": 30, ""action"": ""views""}]"
01c8f787-fd62-4483-a650-08fd2a24842e,NM_green_39-44,2278,photo,2017-06-23,919,"[{""K"": 78, ""action"": ""junk""}, {""D"": 55, ""action"": ""noise""}, {""H"": 92, ""action"": ""conversions""}, {""K"": 13, ""action"": ""junk""}, {""E"": 82, ""action"": ""views""}]"
01c8f787-fd62-4483-a650-08fd2a24842e,NM_green_39-44,2278,photo,2017-06-14,441,"[{""F"": 25, ""action"": ""noise""}, {""K"": 98, ""action"": ""noise""}, {""K"": 9, ""action"": ""junk""}]"
01e2ff7e-5be0-4db2-b7a8-46ffde058bd3,WV_black_30-35,9329,video,2017-06-17,765,"[{""K"": 47, ""action"": ""conversions""}]"
01f460ef-39fc-4950-bc26-2d34e70966c5,NV_blue_24-29,3034,photo,2017-06-21,334,"[{""D"": 72, ""action"": ""junk""}, {""C"": 81, ""action"": ""conversions""}, {""B"": 54, ""action"": ""conversions""}, {""K"": 35, ""action"": ""conversions""}]"
0216f6c5-35b7-4d12-a14e-29aac6f26d8b,WY_pink_60-65,963,photo,2017-06-19,969,"[{""J"": 72, ""action"": ""junk""}, {""H"": 74, ""action"": ""views""}, {""B"": 66, ""action"": ""conversions""}]"
0216f6c5-35b7-4d12-a14e-29aac6f26d8b,WY_pink_60-65,963,video,2017-06-18,91,"[{""F"": 57, ""action"": ""conversions""}, {""K"": 72, ""action"": ""clicks""}]"
0216f6c5-35b7-4d12-a14e-29aac6f26d8b,WY_pink_60-65,963,photo,2017-06-20,704,"[{""C"": 4, ""action"": ""noise""}, {""J"": 53, ""action"": ""conversions""}]"
023829b4-37f2-43ab-b0de-6a08884ec2a1,OK_black_36-41,3619,photo,2017-06-14,688,"[{""A"": 56, ""action"": ""clicks""}, {""J"": 6, ""action"": ""clicks""}, {""B"": 14, ""action"": ""views""}, {""A"": 81, ""action"": ""noise""}, {""C"": 68, ""action"": ""conversions""}]"
02602d71-1ab9-4c4d-ba5a-6181a9ece5e3,IA_orange_54-59,9660,video,2017-06-16,525,"[{""F"": 68, ""action"": ""conversions""}, {""J"": 26, ""action"": ""clicks""}, {""F"": 77, ""action"": ""views""}, {""C"": 43, ""action"": ""noise""}]"
02602d71-1ab9-4c4d-ba5a-6181a9ece5e3,IA_orange_54-59,9660,video,2017-06-14,87,"[{""D"": 94, ""action"": ""clicks""}]"
027cdc7d-5e74-4d31-968e-bdb754c7ec4a,NM_white_36-41,9731,video,2017-06-18,10,"[{""B"": 55, ""action"": ""junk""}, {""H"": 36, ""action"": ""clicks""}, {""H"": 21, ""action"": ""conversions""}, {""C"": 80, ""action"": ""views""}]"
027f976c-5c26-4720-8dfa-6023c13206e1,VT_green_45-50,12215,photo,2017-06-20,785,"[{""E"": 3, ""action"": ""clicks""}, {""E"": 35, ""action"": ""clicks""}, {""F"": 18, ""action"": ""noise""}, {""A"": 39, ""action"": ""clicks""}]"
028bd284-c58b-475c-ac4e-d2688ae075e8,OK_black_51-56,9272,photo,2017-06-23,643,"[{""E"": 36, ""action"": ""views""}, {""F"": 42, ""action"": ""views""}]"
0297e5a8-c3e7-4c44-843c-5c4b571b5bdf,MD_orange_24-29,7930,photo,2017-06-21,578,"[{""C"": 73, ""action"": ""conversions""}, {""J"": 91, ""action"": ""conversions""}, {""H"": 33, ""action"": ""noise""}]"
0297e5a8-c3e7-4c44-843c-5c4b571b5bdf,MD_orange_24-29,7930,video,2017-06-23,825,"[{""C"": 53, ""action"": ""views""}, {""F"": 85, ""action"": ""views""}, {""G"": 66, ""action"": ""clicks""}, {""E"": 50, ""action"": ""clicks""}]"
0297e5a8-c3e7-4c44-843c-5c4b571b5bdf,MD_orange_24-29,7930,photo,2017-06-18,330,"[{""F"": 92, ""action"": ""junk""}, {""G"": 26, ""action"": ""junk""}, {""C"": 18, ""action"": ""noise""}]"
02ab2540-f114-47b0-ba03-f4ba87326e54,NJ_green_45-50,6846,video,2017-06-21,211,"[{""D"": 92, ""action"": ""clicks""}, {""F"": 12, ""action"": ""views""}, {""F"": 99, ""action"": ""junk""}, {""K"": 8, ""action"": ""noise""}]"
02ab2540-f114-47b0-ba03-f4ba87326e54,NJ_green_45-50,6846,video,2017-06-22,971,"[{""C"": 83, ""action"": ""noise""}, {""C"": 85, ""action"": ""noise""}, {""J"": 1, ""action"": ""junk""}, {""G"": 36, ""action"": ""views""}]"
02affd0c-d973-4072-a884-b7e247053828,KS_red_21-26,6635,photo,2017-06-22,579,"[{""H"": 86, ""action"": ""noise""}, {""F"": 48, ""action"": ""noise""}, {""C"": 88, ""action"": ""junk""}]"
02affd0c-d973-4072-a884-b7e247053828,KS_red_21-26,6635,video,2017-06-16,95,"[{""K"": 33, ""action"": ""junk""}, {""G"": 78, ""action"": ""conversions""}, {""E"": 65, ""action"": ""clicks""}, {""C"": 70, ""action"": ""clicks""}, {""K"": 66, ""action"": ""clicks""}]"
02d49933-9d07-4eef-9e91-a76f1c608abb,TX_brown_30-35,2591,video,2017-06-23,494,"[{""J"": 26, ""action"": ""noise""}, {""J"": 93, ""action"": ""conversions""}, {""F"": 11, ""action"": ""views""}]"
02d49933-9d07-4eef-9e91-a76f1c608abb,TX_brown_30-35,2591,photo,2017-06-21,949,"[{""C"": 14, ""action"": ""views""}]"
02ec5b06-fdc9-4a87-8d74-ccbff9e1359c,SC_orange_30-35,3821,photo,2017-06-19,83,"[{""K"": 52, ""action"": ""clicks""}]"
02ec5b06-fdc9-4a87-8d74-ccbff9e1359c,SC_orange_30-35,3821,video,2017-06-15,68,"[{""D"": 34, ""action"": ""clicks""}, {""E"": 23, ""action"": ""noise""}]"
02ec5b06-fdc9-4a87-8d74-ccbff9e1359c,SC_orange_30-35,3821,video,2017-06-18,298,"[{""H"": 5, ""action"": ""clicks""}, {""C"": 83, ""action"": ""junk""}]"
02f1e013-4f04-4f6f-93b3-e888303c4a71,MA_red_21-26,9630,photo,2017-06-19,870,"[{""A"": 15, ""action"": ""conversions""}, {""C"": 36, ""action"": ""junk""}, {""F"": 38, ""action"": ""views""}, {""A"": 7, ""action"": ""views""}]"
030c61eb-e3cb-4c52-81a7-0d438c707aae,KY_orange_27-32,5514,photo,2017-06-15,264,"[{""K"": 86, ""action"": ""conversions""}, {""F"": 85, ""action"": ""junk""}, {""F"": 88, ""action"": ""views""}, {""J"": 28, ""action"": ""clicks""}]"
030c61eb-e3cb-4c52-81a7-0d438c707aae,KY_orange_27-32,5514,video,2017-06-21,267,"[{""G"": 90, ""action"": ""clicks""}, {""E"": 86, ""action"": ""noise""}, {""G"": 85, ""action"": ""views""}]"
030fe0c3-7a19-47e5-b77d-9a092a1fea39,IA_orange_57-62,9516,photo,2017-06-23,190,"[{""K"": 80, ""action"": ""junk""}, {""B"": 74, ""action"": ""conversions""}]"
030fe0c3-7a19-47e5-b77d-9a092a1fea39,IA_orange_57-62,9516,video,2017-06-22,954,"[{""J"": 96, ""action"": ""clicks""}, {""H"": 31, ""action"": ""conversions""}, {""F"": 49, ""action"": ""junk""}, {""H"": 24, ""action"": ""conversions""}, {""C"": 42, ""action"": ""views""}]"
0325fa75-2b99-4091-bba6-29b1ca7a02f9,NV_red_48-53,7635,video,2017-06-21,427,"[{""D"": 68, ""action"": ""noise""}, {""J"": 68, ""action"": ""junk""}, {""A"": 82, ""action"": ""conversions""}, {""D"": 2, ""action"": ""junk""}]"
0325fa75-2b99-4091-bba6-29b1ca7a02f9,NV_red_48-53,7635,video,2017-06-20,122,"[{""H"": 52, ""action"": ""noise""}]"
0325fa75-2b99-4091-bba6-29b1ca7a02f9,NV_red_48-53,7635,video,2017-06-22,544,"[{""C"": 34, ""action"": ""clicks""}, {""B"": 11, ""action"": ""noise""}, {""F"": 29, ""action"": ""conversions""}, {""E"": 90, ""action"": ""noise""}]"
03326189-4f87-494a-8347-95126adecac4,HI_brown_24-29,3999,video,2017-06-22,458,"[{""F"": 74, ""action"": ""noise""}, {""F"": 12, ""action"": ""noise""}, {""F"": 15, ""action"": ""junk""}, {""E"": 58, ""action"": ""views""}]"
03326189-4f87-494a-8347-95126adecac4,HI_brown_24-29,3999,video,2017-06-20,989,"[{""J"": 81, ""action"": ""views""}]"
03326189-4f87-494a-8347-95126adecac4,HI_brown_24-29,3999,video,2017-06-14,793,"[{""H"": 78, ""action"": ""conversions""}]"
03326189-4f87-494a-8347-95126adecac4,HI_brown_24-29,3999,video,2017-06-21,738,"[{""H"": 75, ""action"": ""clicks""}, {""D"": 52, ""action"": ""junk""}, {""J"": 33, ""action"": ""views""}]"
03326189-4f87-494a-8347-95126adecac4,HI_brown_24-29,3999,photo,2017-06-22,844,"[{""F"": 16, ""action"": ""views""}]"
033e9cc3-4a92-4933-8726-13525316c279,TX_pink_51-56,550,video,2017-06-18,468,"[{""A"": 46, ""action"": ""noise""}]"
033e9cc3-4a92-4933-8726-13525316c279,TX_pink_51-56,550,photo,2017-06-18,44,"[{""G"": 92, ""action"": ""noise""}, {""G"": 44, ""action"": ""junk""}, {""J"": 26, ""action"": ""clicks""}, {""K"": 98, ""action"": ""noise""}, {""E"": 93, ""action"": ""views""}]"
